 Conversion Factor,Heat unit to GJ (Energy),,,Heat unit to kg CO2 eq,,,19.249179211916726,,,,,,,,,,,,,,
Coal/ Than,,,,kgCO2eq/GJ,96,Plant,,,,,,,,,,,,,,,
Lignite/Than non,GJ/Ton,,Plant,kgCO2eq/Ton,,Plant,,,,,,,,,,,,,,,
Natural Gas,GJ/MMBTU,1.055,SCG SD Office,kgCO2eq/MMBTU,59.2399,SCG SD Office,,,,,,,,,,,,,,,
Co-generation (Heat),GJ/MMBTU,1.055,SCG SD Office,kgCO2eq/MMBTU,,Plant,,,,,,,,,,,,,,,
LPG (Station),GJ/kg,0.0493,SCG SD Office,kgCO2eq/kg,3.1133,SCG SD Office,,,,,,,,,,,,,,,
LPG (Mobile),,,,kgCO2eq/kg,3.1899,SCG SD Office,,,,,,,,,,,,,,,
Heavy fuel oil / Bunker oil,GJ/Litre,0.03977,SCG SD Office,kgCO2eq/Litre,3.0833,SOD CBM,,,,,,,,,,,,,,,
Diesel oil (Mobile),GJ/Litre,0.03642,SCG SD Office,kgCO2eq/Litre,2.7403,SCG SD Office,,,,,,,,,,,,,,,
Diesel oil (Station),,,,kgCO2eq/Litre,2.7076,SCG SD Office,,,,,,,,,,,,,,,
Gasoline,GJ/Litre,0.03148,SCG SD Office,kgCO2eq/Litre,2.2376,SCG SD Office,,,,,,,,,,,,,,,
Steam,GJ/Ton,,Plant,kgCO2eq/Ton,,Plant,,,,,,,,,,,,,,,
Solid Biomass (Renewable Energy),GJ/kg,0.0144,Plant,,,,,,,,,,,,,,,,,,
Electricity,GJ/MWh,3.6,SCG SD Office,TonCO2eq/MWh,0.8649,SCG SD Office,,,,,,,,,,,,,,,
Co-generation (Power),GJ/MWh,3.6,SCG SD Office,kgCO2eq/MWh,,Plant,,,,,,,,,,,,,,,
Solar Cell (Renewable Energy),GJ/MWh,3.6,SCG SD Office,,,,,,,,,,,,,,,,,,
Acetylene,,,,kgCO2eq/kg,3.3846,SOD CBM,,,,,,,,,,,,,,,
Calcium Carbonate ≥900OC (process),,,,kgCO2eq/kg,439.71,SOD CBM,,,,,,,,,,,,,,,
Average Flow of Anaerobic Wastewater,,,,kgCO2eq/kg CH4,25,SOD CBM,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
