Energy Cost,unit, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,
Coal,Local Currency,,,,,,,,,,,,,,,,,,,,
Lignite,Local Currency,,,,,,,,,,,,,,,,,,,,
Natural Gas,Local Currency,,,,,,,,,,,,,,,,,,,,
Co-generation (Heat),Local Currency,,,,,,,,,,,,,,,,,,,,
LPG,Local Currency,,,,,,,,,,,,,,,,,,,,
Heavy fuel oil / Bunker oil,Local Currency,,,,,,,,,,,,,,,,,,,,
Diesel,Ringgit,,,,,,,,,,,,,,,,,,,,
Gasoline,Local Currency,,,,,,,,,,,,,,,,,,,,
Steam,Local Currency,,,,,,,,,,,,,,,,,,,,
Solid Biomass (Renewable Energy),Local Currency,,,,,,,,,,,,,,,,,,,,
Electricity,Ringgit,,,,,,,,,,,,,,,,,,,,
Co-generation (Power),Local Currency,,,,,,,,,,,,,,,,,,,,
Solar Cell (Renewable Energy),Local Currency,,,,,,,,,,,,,,,,,,,,
